"SuccessfulBool","goal","pledged","staff_pick","backers_count","name_len","name_len_clean","blurb_len","blurb_len_clean","deadline","state_changed_at","created_at","launched_at","deadline_month","deadline_day","deadline_yr","deadline_hr","state_changed_at_month","state_changed_at_day","state_changed_at_yr","state_changed_at_hr","created_at_month","created_at_day","created_at_yr","created_at_hr","launched_at_month","launched_at_day","launched_at_yr","launched_at_hr"
0,1500,0,0,0,11,9,21,16,"2015-01-23 10:35:00","2015-01-23 10:35:00","2014-11-29 22:55:57","2014-12-17 13:47:36",1,23,2015,10,1,23,2015,10,11,29,2014,22,12,17,2014,13
0,500,0,0,0,4,4,23,15,"2015-05-01 16:13:22","2015-05-01 16:13:24","2015-02-20 09:28:43","2015-03-02 16:13:22",5,1,2015,16,5,1,2015,16,2,20,2015,9,3,2,2015,16
0,1e+05,120,0,5,8,8,18,10,"2015-03-26 08:17:04","2015-03-26 08:17:05","2015-01-24 00:08:06","2015-01-25 08:17:04",3,26,2015,8,3,26,2015,8,1,24,2015,0,1,25,2015,8
0,5000,0,0,0,7,6,21,13,"2014-10-06 00:41:17","2014-10-06 00:41:17","2014-09-05 22:30:00","2014-09-06 00:41:17",10,6,2014,0,10,6,2014,0,9,5,2014,22,9,6,2014,0
0,3222,356,0,17,7,7,18,18,"2016-06-27 12:00:00","2016-06-27 12:00:00","2016-05-25 14:09:49","2016-05-26 05:57:27",6,27,2016,12,6,27,2016,12,5,25,2016,14,5,26,2016,5
0,13000,1136,0,12,8,8,20,15,"2015-11-20 10:28:58","2015-11-20 10:28:58","2015-10-19 07:24:42","2015-10-21 10:28:58",11,20,2015,10,11,20,2015,10,10,19,2015,7,10,21,2015,10
0,50000,0,0,0,7,5,22,13,"2015-05-29 22:12:26","2015-05-29 22:12:29","2015-04-29 20:57:04","2015-04-29 22:12:26",5,29,2015,22,5,29,2015,22,4,29,2015,20,4,29,2015,22
0,10000,0,0,0,3,3,18,12,"2015-09-27 10:36:31","2015-09-27 10:36:32","2015-08-13 09:22:19","2015-08-13 10:36:31",9,27,2015,10,9,27,2015,10,8,13,2015,9,8,13,2015,10
0,6000,153,0,7,1,1,18,9,"2016-03-08 05:46:51","2016-03-08 05:46:51","2016-02-05 10:50:03","2016-02-07 05:46:51",3,8,2016,5,3,8,2016,5,2,5,2016,10,2,7,2016,5
0,15000,0,0,0,5,4,19,13,"2015-12-02 17:19:03","2015-12-02 17:19:03","2015-11-01 09:02:52","2015-11-02 17:19:03",12,2,2015,17,12,2,2015,17,11,1,2015,9,11,2,2015,17
0,7300,72,0,5,7,7,23,12,"2016-11-10 15:00:21","2016-11-10 15:00:22","2016-09-12 17:02:30","2016-10-11 15:00:21",11,10,2016,15,11,10,2016,15,9,12,2016,17,10,11,2016,15
0,10000,826,0,10,6,6,19,13,"2016-06-30 07:18:14","2016-06-30 07:18:15","2016-03-22 10:50:51","2016-05-01 07:18:14",6,30,2016,7,6,30,2016,7,3,22,2016,10,5,1,2016,7
