time,decline,gdp,dip,drt,ur,dulc,dcpi,dfx,dexp,dimp,ir,cagdp,cli,clim
Q3-1995,1,1.270,0.006,0.001,-7.992,0.011,0.004,-0.072,0.090,0.091,4.720,4.841,299.106,-35.223
Q4-1995,1,0.769,0.018,0.005,-11.333,0.006,0.002,0.023,-0.003,-0.028,4.406,5.117,297.692,-45.910
Q1-1996,1,0.110,-0.056,-0.024,-9.880,0.008,0.000,-0.025,0.020,0.043,3.776,4.945,296.777,-56.987
Q2-1996,1,1.006,0.059,-0.005,-24.425,-0.007,0.004,0.035,-0.038,-0.039,4.080,5.229,295.310,-66.087
Q3-1996,1,0.471,-0.039,-0.004,-30.939,0.004,0.001,0.045,-0.033,-0.048,4.193,4.852,293.499,-73.260
Q4-1996,1,-0.098,0.005,-0.005,-37.250,0.002,0.001,-0.017,0.022,0.015,4.023,5.348,292.279,-74.000
Q1-1997,1,0.499,0.014,0.000,-25.925,0.003,0.002,0.053,-0.035,-0.033,3.696,5.499,292.860,-71.113
Q2-1997,1,1.114,0.002,0.033,-21.945,-0.001,0.004,0.116,-0.064,-0.012,3.503,8.128,295.533,-65.830
Q3-1997,0,1.749,0.042,-0.049,-15.038,-0.003,-0.001,0.005,0.034,-0.014,3.290,8.058,299.141,-51.990
Q4-1997,0,2.892,0.002,0.025,-0.642,-0.008,0.000,0.027,-0.001,0.009,3.328,7.848,302.159,-34.713
Q1-1998,0,3.150,0.028,0.020,4.890,-0.005,0.001,-0.033,0.070,0.026,3.306,9.406,304.366,-16.370
Q2-1998,0,3.072,0.009,-0.012,2.247,-0.005,0.000,0.029,-0.048,-0.019,3.052,6.182,305.798,-25.603
Q3-1998,0,3.931,-0.003,0.014,5.881,-0.007,-0.001,0.011,0.019,0.014,3.277,11.458,305.264,-28.943
Q4-1998,1,2.819,0.003,-0.004,13.139,0.005,0.000,-0.015,0.005,0.007,3.088,7.083,302.440,-37.250
Q1-1999,1,1.913,-0.012,0.011,4.935,0.008,-0.001,-0.074,0.052,0.093,2.761,5.274,299.350,-53.067
Q2-1999,1,1.075,0.007,-0.002,3.622,0.001,0.004,0.048,-0.032,-0.043,2.570,3.190,299.821,-42.000
Q3-1999,1,0.553,0.018,-0.014,-1.890,0.003,0.002,0.062,-0.044,-0.054,2.730,10.220,301.486,-35.860
Q4-1999,0,1.180,0.027,0.002,9.897,-0.002,0.004,0.009,0.040,0.057,3.213,10.455,303.857,-26.430
Q1-2000,0,3.784,0.035,0.015,18.435,-0.017,0.003,0.010,0.047,0.022,3.644,9.662,306.333,-11.570
Q2-2000,0,4.306,0.026,-0.030,22.693,-0.002,0.006,0.055,-0.057,-0.034,3.936,10.084,307.445,2.423
