"","nazov","price","year","km","kw","kraj","fuel","trans"
"1","Škoda",15290,2017,157017,85,"BB kraj","Diesel","Manuál"
"2","Škoda",9300,2013,231000,125,"PO kraj","Diesel","Manuál"
"3","Škoda",17990,2019,185500,110,"BA kraj","Benzín","Manuál"
"4","Škoda",22500,2018,138477,110,"ZA kraj","Diesel","Automat"
"5","Škoda",25490,2018,87400,180,"BA kraj","Benzín","Automat"
"6","Škoda",16990,2018,180711,110,"BB kraj","Diesel","Automat"
"7","Škoda",24990,2018,120000,135,"BB kraj","Diesel","Automat"
"8","Škoda",5990,2010,266000,77,"ZA kraj","Diesel","Manuál"
"9","Škoda",9200,2014,172000,77,"ZA kraj","Diesel","Manuál"
"10","Škoda",13990,2016,168500,110,"TT kraj","Benzín","Automat"
"11","Škoda",21499,2018,195900,135,"TT kraj","Diesel","Automat"
"12","Škoda",15500,2014,231000,162,"ZA kraj","Benzín","Automat"
"13","Škoda",1900,2003,353,132,"BB kraj","Benzín","Manuál"
"14","Škoda",5300,2007,254701,125,"ZA kraj","Diesel","Manuál"
"15","Škoda",7000,2011,205000,77,"TT kraj","Diesel","Manuál"
"16","Škoda",7300,2011,117521,77,"TN kraj","Benzín","Automat"
"17","Škoda",7390,2012,173000,77,"TT kraj","Diesel","Manuál"
"18","Škoda",8990,2015,236000,77,"BA kraj","Diesel","Automat"
"19","Škoda",9250,2009,233000,147,"BB kraj","Benzín","Automat"
"20","Škoda",9300,2014,227355,77,"ZA kraj","Diesel","Manuál"
"21","Škoda",9490,2010,246000,147,"BB kraj","Benzín","Automat"
"22","Škoda",10600,2015,230974,77,"BA kraj","Diesel","Manuál"
"23","Škoda",11300,2016,193459,81,"BA kraj","Diesel","Manuál"
"24","Škoda",11450,2017,182000,85,"BA kraj","Diesel","Manuál"
"25","Škoda",11990,2017,172250,110,"BA kraj","Diesel","Manuál"
"26","Škoda",11999,2017,217955,85,"BA kraj","Diesel","Automat"
"27","Škoda",12700,2018,144795,85,"BA kraj","Diesel","Manuál"
"28","Škoda",12980,2018,179000,85,"BB kraj","Diesel","Automat"
"29","Škoda",12999,2017,193570,110,"BA kraj","Diesel","Automat"
"30","Škoda",12999,2016,112299,81,"BA kraj","Diesel","Manuál"
"31","Škoda",12999,2017,149000,85,"BB kraj","Diesel","Manuál"
"32","Škoda",13200,2016,147800,66,"BA kraj","Diesel","Manuál"
"33","Škoda",13299,2014,148693,110,"BB kraj","Diesel","Automat"
"34","Škoda",13500,2019,245524,96,"ZA kraj","Benzín+Plyn","Automat"
"35","Škoda",14000,2014,200350,135,"ZA kraj","Diesel","Automat"
"36","Škoda",14250,2018,202000,85,"BA kraj","Diesel","Automat"
"37","Škoda",14290,2018,172000,85,"BA kraj","Diesel","Automat"
